code,answer,score_v1,score_v2,score,ideal,score_ideal_ratio
A.1,"YES. The company has developed and published a Board Charter which is periodically reviewed and which sets out the Board responsibility for internal control. The Board Charter covers amongst other things: statement of good governance; governance structure clearly distinguishing the role of the Board and Management, Board appointments procedure and role, responsibilities, powers and practices of the Board.",2,,2,2,1.0
A.2,"YES. The Board Charter clearly distinguishes the role of the Board and Management, and the company documents ensure that the responsibilities of the board are in line with Code requirements. The Board evaluation questionnaire also focuses on areas such as Board Structure and Composition, Board Practices, Procedure of Board Meetings, Accountability and Risk Management, Information and Communication, and Appropriate Boardroom behaviours. The Board is committed to ensuring that the Company is in compliance with the laws, regulations, and standards applicable to it.",2,,2,2,1.0
A.3,"YES. The content indicates that Board members take their responsibility for the corporate governance agenda seriously and have established a Corporate Governance Framework to ensure effective governance across the Group. The Board ensures high standards and practices in Corporate Governance and has established internal procedures and monitoring systems to promote compliance with applicable laws, regulations, and standards. The Group Board has the overall responsibility for good corporate governance across the Group and ensures that the governance policies and mechanisms are appropriate to the structure, business, and risks of the Group. The Board Charter and Code of Conduct and Ethics are publicly published on the Group's website, and the Board evaluation questionnaire focuses on key areas such as Board Structure and Composition, Board Practices, Procedure of Board Meetings, Accountability and Risk Management, Information and Communication, and Appropriate Boardroom behaviors.",2,,2,2,1.0
A.4,"The Board ensures that the Code of Ethics is cascaded down to all Directors and employees, and is factored into the Performance Evaluation. The Board also has established internal procedures and monitoring systems to promote compliance with applicable laws, regulations, and standards. Newly appointed Board members are inducted into their role as soon as possible following their appointment, and Board members have access to continuous development programs on relevant issues and additional business awareness sessions to enable them to maintain, deepen, and update their knowledge and skills to effectively fulfill their responsibilities as Board members. The Board evaluation questionnaire focused on key areas such as Board Structure and Composition, Board Practices, Procedure of Board Meetings, Accountability and Risk Management, Information and Communication, and Appropriate Boardroom behaviors. The Board Charter and Code of Conduct and Ethics are publicly published on the Group's website, and the Annual Workplan and Evaluation tools ensure that the Board activities for the year are well planned and its performance duly assessed respectively.",2,,2,2,1.0
A.5,"YES. The company documents indicate the role of the Board in developing and monitoring the company strategy. The Board provides strategic direction to the company, governance through policy and accountability to all stakeholders, and is cognizant that its oversight role includes risk management oversight and strategy formulation for value creation and to ensure optimal financial performance. Non-Executive Directors are vested with key responsibilities to constructively challenge and contribute to the development of strategy and extend the business of the Group, monitor the performance of management in meeting agreed goals and objectives, and ensure that the financial information is accurate, and that financial controls and systems of risk management are robust and defensible. The Board Charter and Code of Conduct and Ethics are publicly published in the Group’s website while the Annual Workplan and Evaluation tools ensure that the Board activities for the year are well planned and its performance duly assessed respectively. Board members are provided with regular updates on matters relevant to legal reforms, corporate governance, the corporate environment, regulatory obligations, business/commercial risks, and other matters that may be of interest in the execution of their role. The Board evaluation questionnaire focused on key areas such as Board Structure and Composition, Board Practices, Procedure of Board Meetings, Accountability and Risk Management, Information and Communication, and Appropriate Boardroom behaviours. The Board during the period under review commenced an intensive update of the existing and development of new and appropriate Governance documents that define appropriate corporate governance principles that shall provide appropriate incentives for the Group to pursue objectives that are in the best interests of the Group, its Shareholders, and other stakeholders whilst protecting their interests.",2,,2,2,1.0
A.6,"YES. The company strategy promotes sustainability of the company through various initiatives such as considering social and environmental impacts, adopting an Environmental and Social Risk Framework, and adhering to a disciplined process of capital allocation that ensures profitable and sustainable growth markets. The company also actively considers the social and environmental footprint of its activities and is committed to operating sustainably and making a positive contribution beyond its core businesses.",2,,2,2,1.0
A.7,"YES. All board committees are governed by a written charter/terms of reference, disclosing its mandate, authority, duties, composition, leadership and working processes. The Board Charter and Code of Conduct and Ethics publicly published in the Group’s website while the Annual Workplan and Evaluation tools ensure that the Board activities for the year are well planned and its performance duly assessed respectively. The Board has established different Committees with established terms of reference to provide guidance on broad functions of the Group such as audit, risk management, remuneration, finance, strategy & investment as well as governance. The Board ensures that the Committees are appropriately constituted with members who have the necessary skills and expertise to deliver as per the Committee mandates.",2,,2,2,1.0
B.1,"YES. The Board has established a Nomination Committee comprised mainly of independent and non-executive Board members. The Group Board Governance, Nominations and Compensation Committee recommends new nominees for appointment to the Board.",2,,2,2,1.0
B.10,YES. The Group Board assesses the independence of Board members on an annual basis to mitigate the risks arising from conflict of interest or undue influence from interested parties.,2,,2,2,1.0
B.11,NO,0,,0,2,0.0
