code,answer,score_v1,score_v2,score,ideal,score_ideal_ratio
A.1,"YES. The company has developed and published a Board Charter which is periodically reviewed and which sets out the Board responsibility for internal control. The Board Charter is regularly reviewed by the Board and provides for a clear definition of the roles and responsibilities of the Group Chairman, directors as well as the Company Secretary. The current KCB Group Board Charter is available on the company website. The Group Board has the overall responsibility for the Group’s system of internal control, which includes all material controls including financial, operational and compliance controls and related risk management, and reviewing its effectiveness. A Directors’ declaration to this effect is included in the annual financial report.",2,,2,2,1.0
A.2,"YES. The Board Charter distinguishes the responsibilities of the board from management in line with Code requirements. The roles and responsibilities of the Group Chairman, directors, and the Group Chief Executive Officer & Managing Director are separate and distinct with a clear division of responsibility between the running of the Board and the executive responsibility of running KCB Group’s business. The Board Charter is regularly reviewed and provides for a clear definition of the roles and responsibilities of the Group Chairman, directors, and the Company Secretary. The scope of authority, responsibility, and functioning of the board is contained in a formal charter which is regularly reviewed. The Board sets the strategic objectives of the Group with input from management, and oversees management, performance, remuneration, and governance frameworks of the Group. The Board, in the Board Charter, delegates responsibility for the day-to-day management of the business to the Group Chief Executive Officer & Managing Director. The Group Chief Executive Officer & Managing Director in turn delegates aspects of his own authority to members of the Executive Committee. The scope of, and limitations to, these delegations are clearly documented in various policies and cover areas such as operating expenditure, capital expenditure, and investments.",2,,2,2,1.0
A.3,"YES. The risk management policy documents establish corporate governance, including the duties and responsibilities of the Board of Directors, the Group Chief Risk Officer, and the risk-management function, and the status, resources, authority, and independence of the risk management and their reports to the committees and to the Board of Directors. The Board of Directors of the Group is responsible for delineating the overall risk-management strategy and supervising the risk-management framework of the Group, directly or through the Risk Committee. The Board Charter delegates responsibility for the day-to-day management of the business to the Group Chief Executive Officer & Managing Director, and the scope of, and limitations to, these delegations are clearly documented in various policies and cover areas such as operating expenditure, capital expenditure, and investments. The Board regularly reviews its corporate governance arrangements and practices and ensures that the same reflects the developments in regulation, best market practice, and stakeholder expectations.",2,,2,2,1.0
A.4,"The Board ensures that all directors, CEOs, and management are fully aware of the requirements of the Code by providing guidance on how their responsibilities should be discharged, facilitating continuous Board education and Directors’ professional development, and ensuring effective flow of information within the Board and its committees and between senior management and non-executive Directors. The induction program includes a series of meetings with other Directors, the Group Chief Executive Officer & Managing Director, and senior executives to enable new Directors to familiarize themselves with the business. The Chairman regularly reviews the professional development needs of each Director, and the program of continuing education ensures that the Board is kept up to date with developments in the industry both locally and globally. The Board also regularly reviews its corporate governance arrangements and practices and ensures that the same reflects the developments in regulation, best market practice, and stakeholder expectations across all the countries where they operate.",2,,2,2,1.0
A.5,"YES. The company documents indicate the role of the Board in developing and monitoring the company strategy. The Board meets regularly to consider matters relating to the overall control, business performance, and strategy of the Group. The Group Chairman, in conjunction with the Group Company Secretary, works closely with the Group Chief Executive Officer & Managing Director to come up with the annual work plan and to set the agenda for each meeting. The Board also establishes various committees tasked with developing and continuously monitoring the Group's risk management policies in their specified areas. The Board also has a formal process of reviewing its performance and that of its committees and individual directors.",2,,2,2,1.0
A.6,"YES. The company strategy promotes sustainability of the company. The company has embraced a culture of responsible living, made strategic investments to build a sustainable business for the future, monitors its progress on the adopted 9 United Nations Sustainable Development Goals, and deepened its Sustainability agenda, which is anchored on environmental, social, economic and financial pillars. The company also has a zero-tolerance policy to all forms of corruption, bribery, and unethical business practices at the workplace.",2,,2,2,1.0
A.7,"YES. All board committees are governed by a written charter/terms of reference that disclose its mandate, authority, duties, composition, leadership, and working processes. The terms of reference set out the roles and responsibilities and the procedural rules that apply to the committee. Each committee must be composed of at least three members, a majority of independent directors, and have an independent Chairman. The Audit & Risk committee is made up of only independent non-executive Directors in line with the provisions of the Prudential Guidelines issued by the Central Bank of Kenya.",2,,2,2,1.0
B.1,"YES. The Board has established a Nomination Committee comprised mainly of independent and non-executive Board members. The Nomination Committee is responsible for the selection and appointment of board directors, defining the functions and core competencies for each vacant directorship role, developing suitable selection criteria for potential candidates, screening and interviewing them. The Board regularly reviews the skills, knowledge and experience represented on the Board against the skills and experience needed to deliver the strategy. The Nominations committee has been tasked to take diversity into consideration in its nominations.",2,,2,2,1.0
B.10,"YES. The Board has policies and procedures to annually assess the independence of independent Board members. The Board Charter provides that directors should be independent of management and free of any business or other relationship that could materially interfere with their capacity to bring an independent judgment to bear on issues before the Board and to act in the best interest of the Company or the shareholders generally. The Board also conducts performance evaluations every year, including the evaluation of individual directors, and every third year, the evaluation is facilitated by an external consultant. The Audit & Risk committee is composed of only independent non-executive Directors in line with the provisions of the Prudential Guidelines issued by the Central Bank of Kenya.",2,,2,2,1.0
B.11,NO,0,,0,2,0.0
