code,answer,score_v1,score_v2,score,ideal,score_ideal_ratio
A.1,"YES. The company has developed and published a Board Charter which is periodically reviewed and which sets out the Board responsibility for internal control. The Board Charter provides for a clear definition of the roles and responsibilities of the Group Chairman, directors as well as the Company Secretary. The Board reviews its performance and that of the Board committees and individual directors every year.",2,,2,2,1.0
A.2,"YES. The Board Charter provides a clear definition of the roles and responsibilities of the Group Chairman, directors, and the Company Secretary, with a clear division of responsibility between the running of the Board and the executive responsibility of running KCB Group’s business. The scope of authority, responsibility, and functioning of the board is contained in a formal charter which is regularly reviewed. The Board sets the strategic objectives of the Group with input from management and oversees management, performance, remuneration, and governance frameworks of the Group. The Board Charter sets out the Board authority and matters reserved for determination and approval by the Board. Each subsidiary has a Board of Directors that has oversight functions over the management of the subsidiary.",2,,2,2,1.0
A.3,"YES. The content indicates that the Board members have responsibility for the application of corporate governance policies and procedures of the company. The corporate governance framework enables the Board to oversee the strategic direction of the organization, financial goals, resource allocation, risk appetite, and to hold the executive management accountable for execution. The Board may conduct or direct any investigation to fulfill its responsibilities and can retain any legal, accounting, or other services that it considers necessary from time to time to fulfill its duties. The Board has established Board committees to consider key issues, and the Group Chairman is responsible for the strategic leadership of the Board.",2,2.0,3,3,1.0
A.4,"The Board ensures that all directors, CEOs, and management are fully aware of the requirements of the Code by providing guidance on how their responsibilities should be discharged, identifying and facilitating continuous Board education and Directors’ professional development, ensuring effective flow of information within the Board and its committees and between senior management and non-executive Directors, and keeping formal records of Board discussions and following-up on the timely execution of agreed actions. The Board also reviews its performance and that of the Board committees and individual directors every year, with an external consultant facilitating the review every third year. The Board is entitled to seek any information it requires from any Group employee or from any other source, and the Directors are entitled to obtain independent legal, accounting, or other professional advice at the Company’s expense.",2,,2,2,1.0
A.5,"YES. The company documents indicate that the Board has a role in developing and monitoring the company strategy. The Board sets the strategic objectives of the Group with input from management, and oversees management, performance, remuneration, and governance frameworks of the Group. The Board also conducts a strategic planning session and holds regular meetings to review the key activities undertaken during the year. Additionally, the Board has established various committees tasked with developing and continuously monitoring the Group's risk management policies in their specified areas.",2,0.0,2,3,0.6666666666666666
A.6,"YES. The company strategy promotes sustainability of the company. The company has embraced a culture of responsible living, made strategic investments to deepen their regional play while building a sustainable business for the future that is anchored on people, planet, and profit, committed to measurable and quantifiable achievements, set sustainability targets and reporting on progress, monitors its progress on the adopted 9 United Nations Sustainable Development Goals that make part of its sustainability strategy, and deepened their Sustainability agenda, which is anchored on environmental, social, economic and financial pillars. The company also introduced a Code of Ethics for all their service providers, which requires them to subscribe to guidelines on sustainable operations. The company's priorities are to increase the proportion of their green lending book to 12.4%, review climate change risks and opportunities, strengthen their Environmental, Social and Governance (ESG) practices, advance the NetZero ambitions and Sustainable Development Goals implementation, and capacity building for all staff in climate change and green lending.",2,2.0,3,3,1.0
A.7,"YES. All board committees are governed by a written charter/terms of reference that discloses its mandate, authority, duties, composition, leadership, and working processes.",2,2.0,3,3,1.0
B.1,"YES. The Board has established a Nomination Committee comprised mainly of independent and non-executive Board members, which is responsible for the selection and appointment of board directors. The committee defines the functions and core competencies for each vacant directorship role, develops suitable selection criteria for potential candidates, screens and interviews them, and considers competencies such as skills, knowledge, experience, and diversity mix in its nominations. The Board Charter also requires a majority of independent non-executive directors on each committee, including an independent Chairman.",2,,2,2,1.0
B.10,"YES. The Board has policies and procedures to annually assess the independence of independent Board members. The Board Charter provides that a majority of its directors should be independent, and the Board only considers directors to be independent where they are independent of management and free of any business or other relationship that could materially interfere with their capacity to bring an independent judgment to bear on issues before the Board. The Board also conducts a performance evaluation every year, including that of individual directors, and every third year, the review is facilitated by an external consultant. The Board has terms of reference in place for each committee, which must be composed of at least three members, a majority of independent directors, and have an independent Chairman. The Audit & Risk committee is made up of only independent non-executive Directors in line with the provisions of the Prudential Guidelines issued by the Central Bank of Kenya. The Board also requires all Directors to disclose any circumstance which may give rise to an actual or potential conflict of interest with their roles as Director.",2,,2,2,1.0
B.11,NO,0,,0,2,0.0
